unidade_norm,unidade_original,classificacao,quantidade,percentual_total,diferenca_absoluta_media,diferenca_percentual_media,cenario
1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,CEDENTE,0,0.0,-1.1,-100.0,COM_EQUALIZACAO
2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,CEDENTE,0,0.0,-1.1,-100.0,COM_EQUALIZACAO
3 VARA DO TRABALHO DE FLORIANOPOLIS,3 Vara do Trabalho de Florianopolis,NEUTRA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,COM_EQUALIZACAO
4 VARA DO TRABALHO DE FLORIANOPOLIS,4 Vara do Trabalho de Florianopolis,NEUTRA,2,18.181818181818183,0.8999999999999999,81.8181818181818,COM_EQUALIZACAO
5 VARA DO TRABALHO DE FLORIANOPOLIS,5 Vara do Trabalho de Florianopolis,DESTINATARIA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,COM_EQUALIZACAO
6 VARA DO TRABALHO DE FLORIANOPOLIS,6 Vara do Trabalho de Florianopolis,DESTINATARIA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,COM_EQUALIZACAO
1 VARA DO TRABALHO DE ITAJAI,1 Vara do Trabalho de Itajai,CEDENTE,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,COM_EQUALIZACAO
1 VARA DO TRABALHO DE JOINVILLE,1 Vara do Trabalho de Joinville,DESTINATARIA,2,18.181818181818183,0.8999999999999999,81.8181818181818,COM_EQUALIZACAO
1 VARA DO TRABALHO DE BLUMENAU,1 Vara do Trabalho de Blumenau,NEUTRA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,COM_EQUALIZACAO
1 VARA DO TRABALHO DE CHAPECO,1 Vara do Trabalho de Chapeco,DESTINATARIA,2,18.181818181818183,0.8999999999999999,81.8181818181818,COM_EQUALIZACAO
1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,CEDENTE,2,18.181818181818183,0.8999999999999999,81.8181818181818,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,CEDENTE,2,18.181818181818183,0.8999999999999999,81.8181818181818,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE FLORIANOPOLIS,3 Vara do Trabalho de Florianopolis,NEUTRA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,SEM_EQUALIZACAO
4 VARA DO TRABALHO DE FLORIANOPOLIS,4 Vara do Trabalho de Florianopolis,NEUTRA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,SEM_EQUALIZACAO
5 VARA DO TRABALHO DE FLORIANOPOLIS,5 Vara do Trabalho de Florianopolis,DESTINATARIA,0,0.0,-1.1,-100.0,SEM_EQUALIZACAO
6 VARA DO TRABALHO DE FLORIANOPOLIS,6 Vara do Trabalho de Florianopolis,DESTINATARIA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE ITAJAI,1 Vara do Trabalho de Itajai,CEDENTE,2,18.181818181818183,0.8999999999999999,81.8181818181818,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE JOINVILLE,1 Vara do Trabalho de Joinville,DESTINATARIA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE BLUMENAU,1 Vara do Trabalho de Blumenau,NEUTRA,1,9.090909090909092,-0.10000000000000009,-9.090909090909099,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE CHAPECO,1 Vara do Trabalho de Chapeco,DESTINATARIA,0,0.0,-1.1,-100.0,SEM_EQUALIZACAO
