#Processos distribuídos e redistribuídos por OJ no 1º grau  detalhado
#Data Final: 06/08/2026; Indicador de Distribuição: NÃO PREENCHIDO; Órgão Julgador: NÃO PREENCHIDO; Município: NÃO PREENCHIDO; Data Inicial: 06/08/2026; Classe Processual: NÃO PREENCHIDO

#Total de registros: 605
#Relatório gerado em: 11 de ago. de 2026 12:00:39

#Processo;Indicador;Municipío Sede;Órgão Julgador;Classe Judicial;Data
0002656-69.2026.5.12.0062;Recebido Por Distribuição - Sorteio;ITAPEMA;VARA DO TRABALHO DE ITAPEMA;Ação Trabalhista - Rito Ordinário;06/08/2026 00:01:25
0001393-82.2026.5.12.0003;Recebido Por Distribuição - Sorteio;CRICIUMA;1ª VARA DO TRABALHO DE CRICIÚMA;Ação Trabalhista - Rito Ordinário;06/08/2026 00:01:37
0000999-66.2026.5.12.0006;Recebido Por Distribuição - Sorteio;TUBARAO;1ª VARA DO TRABALHO DE TUBARÃO;Ação Trabalhista - Rito Ordinário;06/08/2026 00:08:06
0001871-75.2026.5.12.0008;Recebido Por Distribuição - Sorteio;CONCORDIA;VARA DO TRABALHO DE CONCÓRDIA;Ação Trabalhista - Rito Ordinário;06/08/2026 00:08:40
0001274-49.2026.5.12.0027;Recebido Por Distribuição - Sorteio;CRICIUMA;2ª VARA DO TRABALHO DE CRICIÚMA;Ação Trabalhista - Rito Ordinário;06/08/2026 00:23:28
0001408-37.2026.5.12.0040;Recebido Por Distribuição - Sorteio;BALNEARIO CAMBORIU;1ª VARA DO TRABALHO DE BALNEÁRIO CAMBORIÚ;Ação Trabalhista - Rito Sumaríssimo;06/08/2026 00:42:01
0001721-09.2026.5.12.0004;Recebido Por Distribuição - Sorteio;JOINVILLE;1ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;06/08/2026 00:43:40
0001027-47.2026.5.12.0034;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;4ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Ordinário;06/08/2026 02:49:41
0002657-54.2026.5.12.0062;Recebido Por Distribuição - Sorteio;ITAPEMA;VARA DO TRABALHO DE ITAPEMA;Ação Trabalhista - Rito Ordinário;06/08/2026 03:09:48
0002658-39.2026.5.12.0062;Recebido Por Distribuição - Sorteio;ITAPEMA;VARA DO TRABALHO DE ITAPEMA;Ação Trabalhista - Rito Ordinário;06/08/2026 03:14:21
